outlet_id,outlet_type,province,city,wholesaler_region,month,tickets,units,revenue,weekend_revenue,promo_revenue,aov,rev_per_unit,weekend_share,promo_share
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-01,65,437,12755.31,3360.99,12755.31,196.23553846153845,29.188352402745995,0.2634973199396957,1.0
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-02,52,355,11438.44,4194.639999999999,11438.439999999999,219.97,32.220957746478874,0.36671434216554,0.9999999999999999
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-03,36,210,6267.97,3563.35,6267.97,174.11027777777778,29.847476190476193,0.5685014446463528,1.0
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-04,31,224,6304.82,2375.94,6304.820000000001,203.38129032258064,28.146517857142857,0.3768450169870036,1.0000000000000002
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-05,23,161,4616.04,1947.86,4616.040000000001,200.69739130434783,28.671055900621116,0.4219764126827324,1.0000000000000002
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-06,35,216,6189.85,4202.09,6189.85,176.85285714285715,28.656712962962963,0.6788678239375752,1.0
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-07,35,224,6123.85,0.0,6123.85,174.96714285714287,27.33861607142857,0.0,1.0
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-08,43,236,6820.66,2561.82,6820.659999999999,158.62,28.901101694915255,0.37559708298023947,0.9999999999999999
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-09,47,332,9164.52,1597.19,9164.52,194.98978723404255,27.603975903614458,0.17427972223313387,1.0
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-10,42,304,8677.63,2471.31,8677.63,206.6102380952381,28.544835526315786,0.2847908933660458,1.0
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-11,58,353,10255.73,3325.1600000000003,10255.730000000001,176.82293103448276,29.053059490084983,0.3242246041968734,1.0000000000000002
O0001,Bottle Store,KwaZulu-Natal,Durban,South Hub,2025-12,55,379,10105.56,2978.9800000000005,10105.56,183.73745454545454,26.663746701846964,0.2947862364876366,1.0
O0002,Tavern,Limpopo,Polokwane,Coastal Hub,2025-01,64,533,16782.35,2823.6499999999996,16782.35,262.22421875,31.486585365853657,0.1682511686384803,1.0
O0002,Tavern,Limpopo,Polokwane,Coastal Hub,2025-02,90,903,26852.46,13025.979999999998,26852.46,298.36066666666665,29.736943521594682,0.4850944755154648,1.0
O0002,Tavern,Limpopo,Polokwane,Coastal Hub,2025-03,58,590,15141.22,2684.52,15141.22,261.0555172413793,25.66308474576271,0.1772987909824968,1.0
